GEOID,NAME,state_name,race_total,white_non_hispanic,black_alone,asian_alone,hispanic_latino
34001013301,Census Tract 133.01; Atlantic County; New Jersey,New Jersey,2156,1670,15,135,291
34001013302,Census Tract 133.02; Atlantic County; New Jersey,New Jersey,2516,1790,159,256,207
34001013500,Census Tract 135; Atlantic County; New Jersey,New Jersey,2635,2239,64,95,82
34001983400,Census Tract 9834; Atlantic County; New Jersey,New Jersey,2852,1833,407,241,326
34001990000,Census Tract 9900; Atlantic County; New Jersey,New Jersey,0,0,0,0,0
34003001001,Census Tract 10.01; Bergen County; New Jersey,New Jersey,3334,2510,15,459,171
34003001002,Census Tract 10.02; Bergen County; New Jersey,New Jersey,3483,2662,42,635,1
34003002100,Census Tract 21; Bergen County; New Jersey,New Jersey,1449,881,0,451,94
34003002200,Census Tract 22; Bergen County; New Jersey,New Jersey,5336,2888,63,1743,590
34003002300,Census Tract 23; Bergen County; New Jersey,New Jersey,5657,3375,34,1785,352
34003003100,Census Tract 31; Bergen County; New Jersey,New Jersey,5400,1410,421,1787,1693
34003003200,Census Tract 32; Bergen County; New Jersey,New Jersey,5009,1001,270,1827,1798
34003003300,Census Tract 33; Bergen County; New Jersey,New Jersey,7178,2230,472,2306,2024
34003003401,Census Tract 34.01; Bergen County; New Jersey,New Jersey,2823,1371,660,418,327
34003003402,Census Tract 34.02; Bergen County; New Jersey,New Jersey,3706,2504,110,491,497
34003003500,Census Tract 35; Bergen County; New Jersey,New Jersey,4039,852,392,855,1898
34003004001,Census Tract 40.01; Bergen County; New Jersey,New Jersey,4019,1080,472,350,2104
34003004002,Census Tract 40.02; Bergen County; New Jersey,New Jersey,4921,1664,368,379,2394
34003005000,Census Tract 50; Bergen County; New Jersey,New Jersey,6341,4264,39,572,1253
34003006101,Census Tract 61.01; Bergen County; New Jersey,New Jersey,3942,2030,50,718,1082
34003006102,Census Tract 61.02; Bergen County; New Jersey,New Jersey,3365,1234,77,504,1302
34003006201,Census Tract 62.01; Bergen County; New Jersey,New Jersey,4601,1948,48,484,1773
34003006202,Census Tract 62.02; Bergen County; New Jersey,New Jersey,4579,2164,213,1004,765
34003006301,Census Tract 63.01; Bergen County; New Jersey,New Jersey,4866,1556,44,239,2829
34003006302,Census Tract 63.02; Bergen County; New Jersey,New Jersey,4193,1834,111,486,1495
34003007001,Census Tract 70.01; Bergen County; New Jersey,New Jersey,4213,2087,157,1450,379
34003007002,Census Tract 70.02; Bergen County; New Jersey,New Jersey,4342,1768,130,1537,327
34003008001,Census Tract 80.01; Bergen County; New Jersey,New Jersey,4603,2638,6,1326,554
34003008002,Census Tract 80.02; Bergen County; New Jersey,New Jersey,4502,2640,105,1330,427
34003009100,Census Tract 91; Bergen County; New Jersey,New Jersey,4930,3311,16,1319,208
34003009200,Census Tract 92; Bergen County; New Jersey,New Jersey,3342,2250,98,408,260
34003010100,Census Tract 101; Bergen County; New Jersey,New Jersey,5769,3240,91,1349,962
34003010200,Census Tract 102; Bergen County; New Jersey,New Jersey,4631,2112,161,670,1497
34003010300,Census Tract 103; Bergen County; New Jersey,New Jersey,7682,4102,422,1327,1511
34003011100,Census Tract 111; Bergen County; New Jersey,New Jersey,5623,2090,91,820,2571
34003011200,Census Tract 112; Bergen County; New Jersey,New Jersey,4672,2356,356,354,1336
34003011300,Census Tract 113; Bergen County; New Jersey,New Jersey,4861,2551,616,395,1256
34003011400,Census Tract 114; Bergen County; New Jersey,New Jersey,6105,3601,248,450,1596
34003012001,Census Tract 120.01; Bergen County; New Jersey,New Jersey,6212,2965,393,1147,1532
34003012002,Census Tract 120.02; Bergen County; New Jersey,New Jersey,3808,2037,4,1369,342
34003013002,Census Tract 130.02; Bergen County; New Jersey,New Jersey,6436,2581,279,1681,1379
34003013003,Census Tract 130.03; Bergen County; New Jersey,New Jersey,3892,1196,0,2229,218
34003013004,Census Tract 130.04; Bergen County; New Jersey,New Jersey,4066,1402,316,2056,177
34003014000,Census Tract 140; Bergen County; New Jersey,New Jersey,7281,5679,46,903,569
34003015100,Census Tract 151; Bergen County; New Jersey,New Jersey,2595,1929,197,157,189
34003015200,Census Tract 152; Bergen County; New Jersey,New Jersey,5956,943,1437,618,2442
34003015300,Census Tract 153; Bergen County; New Jersey,New Jersey,5662,143,2582,423,2046
34003015401,Census Tract 154.01; Bergen County; New Jersey,New Jersey,4774,1244,1530,188,1662
